dataset,scope,metric,control,examples,lalm,control_score,delta_lalm_minus_control,ci95_low,ci95_high,paired_bootstrap_samples
synthetic,100,exact_value_accuracy,pure_liquid,300,0.8066666666666666,0.11333333333333333,0.6933333333333334,0.6333333333333333,0.75,10000
synthetic,100,exact_value_accuracy,lexical_only,300,0.8066666666666666,0.7266666666666667,0.08,0.05,0.11333333333333331,10000
synthetic,100,exact_value_accuracy,rag,300,0.8066666666666666,0.6633333333333333,0.14333333333333334,0.1,0.18666666666666668,10000
synthetic,500,exact_value_accuracy,pure_liquid,225,0.7422222222222222,0.10222222222222223,0.64,0.5644444444444444,0.7111111111111111,10000
synthetic,500,exact_value_accuracy,lexical_only,225,0.7422222222222222,0.6666666666666666,0.07555555555555556,0.035555555555555556,0.11555555555555555,10000
synthetic,500,exact_value_accuracy,rag,225,0.7422222222222222,0.6311111111111111,0.1111111111111111,0.05333333333333334,0.1688888888888889,10000
synthetic,1000,exact_value_accuracy,pure_liquid,150,0.7466666666666667,0.03333333333333333,0.7133333333333334,0.6333333333333333,0.7866666666666666,10000
synthetic,1000,exact_value_accuracy,lexical_only,150,0.7466666666666667,0.6733333333333333,0.07333333333333333,0.02,0.12666666666666668,10000
synthetic,1000,exact_value_accuracy,rag,150,0.7466666666666667,0.5866666666666667,0.16,0.08666666666666667,0.23333333333333334,10000
synthetic,5000,exact_value_accuracy,pure_liquid,150,0.7666666666666667,0.0,0.7666666666666667,0.7,0.8333333333333334,10000
synthetic,5000,exact_value_accuracy,lexical_only,150,0.7666666666666667,0.66,0.10666666666666667,0.06,0.16,10000
synthetic,5000,exact_value_accuracy,rag,150,0.7666666666666667,0.5866666666666667,0.18,0.12,0.24666666666666667,10000
synthetic,overall,exact_value_accuracy,pure_liquid,825,0.7709090909090909,0.07515151515151515,0.6957575757575758,0.6606060606060606,0.730909090909091,10000
synthetic,overall,exact_value_accuracy,lexical_only,825,0.7709090909090909,0.6884848484848485,0.08242424242424243,0.06303030303030303,0.10303030303030303,10000
synthetic,overall,exact_value_accuracy,rag,825,0.7709090909090909,0.6266666666666667,0.14424242424242426,0.11636363636363636,0.17333333333333334,10000
longmemeval_heldout_50_499,overall,diagnostic_exact_match,pure_liquid,450,0.13111111111111112,0.04888888888888889,0.08222222222222222,0.04888888888888889,0.11555555555555555,10000
longmemeval_heldout_50_499,overall,diagnostic_token_f1,pure_liquid,450,0.20028564666566356,0.07843563177148719,0.12185001489417638,0.08795460954660744,0.15680218303470125,10000
longmemeval_heldout_50_499,overall,diagnostic_exact_match,lexical_only,450,0.13111111111111112,0.12222222222222222,0.008888888888888889,-0.011111111111111112,0.028888888888888888,10000
longmemeval_heldout_50_499,overall,diagnostic_token_f1,lexical_only,450,0.20028564666566356,0.18559121650441493,0.014694430161248637,-0.007422999867720163,0.037106755085663565,10000
longmemeval_heldout_50_499,overall,diagnostic_exact_match,rag,450,0.13111111111111112,0.13333333333333333,-0.0022222222222222222,-0.03111111111111111,0.024444444444444446,10000
longmemeval_heldout_50_499,overall,diagnostic_token_f1,rag,450,0.20028564666566356,0.19534580117789097,0.004939845487772594,-0.023689626922999293,0.03299258872598923,10000
