horizon,agent,seeds,accuracy_mean,accuracy_std
100,lalm,3,0.8066666666666666,0.011547005383792462
100,lexical_only,3,0.7266666666666667,0.011547005383792526
100,pure_liquid,3,0.11333333333333333,0.0057735026918962545
100,rag,3,0.6633333333333333,0.011547005383792526
100,vanilla,3,0.0,0.0
100,window,3,0.18333333333333335,0.040414518843273795
500,lalm,3,0.7422222222222222,0.027755546659548446
500,lexical_only,3,0.6666666666666667,0.03527668414752787
500,pure_liquid,3,0.10222222222222223,0.0076980035891950115
500,rag,3,0.6311111111111112,0.05388602512436508
500,vanilla,3,0.0,0.0
500,window,3,0.0,0.0
1000,lalm,3,0.7466666666666667,0.03055050463303896
1000,lexical_only,3,0.6733333333333333,0.04163331998932263
1000,pure_liquid,3,0.03333333333333333,0.02309401076758503
1000,rag,3,0.5866666666666667,0.06110100926607786
1000,vanilla,3,0.0,0.0
1000,window,3,0.0,0.0
5000,lalm,3,0.7666666666666667,0.03055050463303896
5000,lexical_only,3,0.66,0.020000000000000018
5000,pure_liquid,3,0.0,0.0
5000,rag,3,0.5866666666666667,0.05033222956847166
5000,vanilla,3,0.0,0.0
5000,window,3,0.0,0.0
