horizon,agent,examples,accuracy
100,vanilla,100,0.0
100,window,100,0.19
100,rag,100,0.67
100,pure_liquid,100,0.12
100,lexical_only,100,0.72
100,lalm,100,0.71
500,vanilla,75,0.0
500,window,75,0.0
500,rag,75,0.64
500,pure_liquid,75,0.13333333333333333
500,lexical_only,75,0.6933333333333334
500,lalm,75,0.7466666666666667
1000,vanilla,50,0.0
1000,window,50,0.0
1000,rag,50,0.64
1000,pure_liquid,50,0.16
1000,lexical_only,50,0.66
1000,lalm,50,0.74
5000,vanilla,50,0.0
5000,window,50,0.0
5000,rag,50,0.58
5000,pure_liquid,50,0.16
5000,lexical_only,50,0.66
5000,lalm,50,0.72
