agent,question_type,examples,diagnostic_token_f1,diagnostic_exact_match
vanilla,category-1,282,0.0070921985815602835,0.0
vanilla,category-2,321,0.001557632398753894,0.0
vanilla,category-3,96,0.027020809052059055,0.0
vanilla,category-4,841,0.002028094774824858,0.0
vanilla,category-5,446,0.002242152466367713,0.0
window,category-1,282,0.0482029018599908,0.01773049645390071
window,category-2,321,0.037340454630174255,0.0
window,category-3,96,0.04374729131162955,0.020833333333333332
window,category-4,841,0.05910370828254013,0.02497027348394768
window,category-5,446,0.002242152466367713,0.0
rag,category-1,282,0.15666431111259077,0.01773049645390071
rag,category-2,321,0.2043296440492702,0.006230529595015576
rag,category-3,96,0.05699848762348763,0.020833333333333332
rag,category-4,841,0.26571088458766123,0.1403091557669441
rag,category-5,446,0.002242152466367713,0.002242152466367713
pure_liquid,category-1,282,0.05160570976173813,0.01773049645390071
pure_liquid,category-2,321,0.01370716510903427,0.009345794392523364
pure_liquid,category-3,96,0.11898789038035362,0.07291666666666667
pure_liquid,category-4,841,0.03462931999338238,0.011890606420927468
pure_liquid,category-5,446,0.002242152466367713,0.0
lexical_only,category-1,282,0.15918073278105346,0.024822695035460994
lexical_only,category-2,321,0.17792358485914805,0.012461059190031152
lexical_only,category-3,96,0.052627337895480485,0.020833333333333332
lexical_only,category-4,841,0.24314392746241806,0.11890606420927467
lexical_only,category-5,446,0.0011210762331838565,0.0
lalm,category-1,282,0.17227927861565978,0.031914893617021274
lalm,category-2,321,0.17712585095762667,0.009345794392523364
lalm,category-3,96,0.034456264678304156,0.010416666666666666
lalm,category-4,841,0.2990667325700102,0.1545778834720571
lalm,category-5,446,0.0,0.0
